Bhopal;India;admin;1798218
San Jose;United States;;1798103
Warsaw;Poland;primary;1790658
Lubumbashi;Congo (Kinshasa);admin;1786397
Davao;Philippines;admin;1776949
Haikou;China;admin;1776141
Damascus;Syria;primary;1754000
Shuyangzha;China;;1770000
Brussels;Belgium;primary;1743000
Lusaka;Zambia;primary;1742979
Hyderabad City;Pakistan;minor;1732693
Budapest;Hungary;primary;1723836
Shuozhou;China;minor;1714857
Cleveland;United States;;1710093
Benxi;China;;1709538
Baiyin;China;minor;1708751
Pittsburgh;United States;;1703266
Patna;India;admin;1684222
Mosul;Iraq;admin;1694000
Caloocan City;Philippines;admin;1661584
Austin;United States;admin;1687311
Sanzhou;China;;1680000
Beihai;China;minor;1680000
Mecca;Saudi Arabia;admin;1675368
Heihe;China;minor;1673899
Jingdezhen;China;minor;1673200
Conakry;Guinea;primary;1667864
Kampala;Uganda;primary;1659600
Cincinnati;United States;;1662691
Recife;Brazil;admin;1653461
Yushan;China;minor;1651200
Zhongli;Taiwan;;1632616
Kansas City;United States;;1636715
Manhattan;United States;;1628706
Bilaspur;India;;1625502
Semarang;Indonesia;admin;1621384
Ludhiana;India;;1618879
Novosibirsk;Russia;admin;1602915
Chengtangcun;China;;1603659
Agra;India;;1592000
Karaj;Iran;admin;1592492
Wenzhou;China;;1588700
Indianapolis;United States;admin;1588961
Leon de los Aldama;Mexico;minor;1579803
Puebla;Mexico;admin;1576259
Kalyan;India;;1576614
Madurai;India;minor;1561129
Mbuji-Mayi;Congo (Kinshasa);admin;1559073
Hebi;China;;1569208
Shiraz;Iran;admin;1565572
Jamshedpur;India;;1558000
Columbus;United States;admin;1562009
Tabriz;Iran;admin;1558693
Maracaibo;Venezuela;admin;1551539
Kawasaki;Japan;;1539522
Aba;Nigeria;minor;1530000
Palembang;Indonesia;admin;1535952
Zhangjiajie;China;minor;1537900
Kobe;Japan;admin;1513193
Charlotte;United States;;1512923
Changshu;China;;1510100
Lianjiang;China;;1509400
Ximeicun;China;;1508000
Jianguang;China;;1507402
Yucheng;China;minor;1507258
Belem;Brazil;admin;1499641
Guiping;China;minor;1496904
Leizhou;China;minor;1494700
Gwangju;South Korea;admin;1490092
Munich;Germany;admin;1488202
Nasik;India;;1486053
Porto Alegre;Brazil;admin;1484941
Valencia;Venezuela;admin;1484430
Onitsha;Nigeria;minor;1483000
Abu Dhabi;United Arab Emirates;primary;1483000
Virginia Beach;United States;;1478868
Daejeon;South Korea;admin;1475221
Zapopan;Mexico;minor;1476491
Yekaterinburg;Russia;admin;1468833
Huazhou;China;minor;1468061
Kyoto;Japan;admin;1464890
Shuangyashan;China;minor;1462626
Pizhou;China;;1458038
El Kelaa des Srarhna;Morocco;;1450021
Kharkiv;Ukraine;admin;1446107
Yangshe;China;minor;1432044
Guyuan;China;;1426000
Khulna;Bangladesh;admin;1400689
Muscat;Oman;primary;1421409
Bronx;United States;;1418207
Gaozhou;China;;1414100
Chizhou;China;minor;1402518
Faridabad;India;;1394000
Ulaanbaatar;Mongolia;primary;1396288
Goiania;Brazil;admin;1393575
Fuqing;China;minor;1390487
Belgrade;Serbia;primary;1378682
Pingdu;China;;1378900
Milan;Italy;admin;1366180
Aurangabad;India;;1371330
Yutan;China;minor;1368117
Milwaukee;United States;;1365787
Huangshan;China;minor;1358980
Auckland;New Zealand;admin;1346091
Makassar;Indonesia;admin;1338663
Santiago;Dominican Republic;admin;1343423
Prague;Czechia;primary;1335084
Rajkot;India;;1335397
Liangshi;China;;1335900
Cordoba;Argentina;admin;1329604
Guarulhos;Brazil;;1324781
Al Basrah;Iraq;admin;1326564
Saitama;Japan;admin;1320571
Juarez;Mexico;minor;1321004
Montevideo;Uruguay;primary;1319108
Xintai;China;;1315942
Wusong;China;minor;1311726
Meerut;India;;1305429
Yushu;China;;1304436
Rongcheng;China;;1302891
Huazhou;China;;1302100
Yangquan;China;minor;1300000
Adelaide;Australia;admin;1295714
Baishan;China;minor;1296127
Dayan;China;;1296000
Haicheng;China;minor;1293877
Jiangyin;China;;1285785
Huaiyin;China;;1264000
Wuzhong;China;minor;1284000
Cacuaco;Angola;;1279488
Barranquilla;Colombia;admin;1274250
Sofia;Bulgaria;primary;1277411
Soweto;South Africa;;1271628
Jabalpur;India;;1267564
Rucheng;China;minor;1267066
Nizhniy Novgorod;Russia;admin;1264075
Shaoyang;China;minor;1253548
Dhanbad;India;;1246000
Comayaguela;Honduras;;1250000
Laiwu;China;;1248636
Sharjah;United Arab Emirates;admin;1247749
Jingling;China;;1247400
Kazan;Russia;admin;1243500
Suwon;South Korea;admin;1234300
Yongcheng;China;;1240382
Calgary;Canada;;1239220
Can Tho;Vietnam;admin;1237300
Abuja;Nigeria;primary;1235880
Mandalay;Myanmar;admin;1225546
Beidao;China;minor;1225000
Xiangshui;China;;1221000
Dadukou;China;minor;1214121
Vila Velha;Brazil;;1209091
Chelyabinsk;Russia;admin;1202371
Mombasa;Kenya;admin;1200000
Providence;United States;admin;1203230
Varanasi;India;;1198491
Qom;Iran;admin;1201158
Zhangye;China;minor;1199515
Hiroshima;Japan;admin;1198021
Maiduguri;Nigeria;admin;1197497
Maputo;Mozambique;primary;1191613
